Data;PACK_QTY;PACK_LABEL_ID;PACK_SHPR
18/07/2012;1;MA002001000287;P01
19/07/2012;1;MA002003300288;P01
19/07/2012;1;MA002000200289;P01
19/07/2012;1;MA002001400290;P01
19/07/2012;1;MA002000400291;P01
19/07/2012;1;MA002003300292;P01
20/07/2012;1;MA002001400293;P01
23/07/2012;1;MA002002700294;P01
23/07/2012;1;MA002000100295;P01
23/07/2012;1;MA002002800296;P01
23/07/2012;1;MA002002300297;P01
23/07/2012;1;MA002002600298;P01
25/07/2012;1;MA002000800299;P01
26/07/2012;1;MA002001100300;P01
26/07/2012;1;MA002001800301;P01
26/07/2012;1;MA002003700302;P01
26/07/2012;1;MA002003100303;P01
27/07/2012;1;MA002002300304;P01
27/07/2012;1;MA002000800305;P01
27/07/2012;1;MA002001900306;P01
30/07/2012;1;MA002000400307;P01
30/07/2012;1;MA002002100308;P01
31/07/2012;1;MA002001000309;P01
01/08/2012;1;MA002002600310;P01
01/08/2012;1;MA002003500311;P01
02/08/2012;1;MA002003300312;P01
03/08/2012;1;MA002001500313;P01
06/08/2012;1;MA002001500314;P01
06/08/2012;1;MA002002100315;P01
06/08/2012;1;MA002003000316;P01
06/08/2012;1;MA002001900317;P01
06/08/2012;1;MA002003200318;P01
06/08/2012;1;MA002001200319;P01
06/08/2012;1;MA002003100320;P01
07/08/2012;1;MA002001300321;P01
08/08/2012;1;MA002002000322;P01
08/08/2012;1;MA002002600323;P01
09/08/2012;1;MA002003400324;P01
09/08/2012;1;MA002001100325;P01
09/08/2012;1;MA002003600326;P01
13/08/2012;1;MA002000400327;P01
13/08/2012;2;MA002000500328;P01
13/08/2012;1;MA002003500329;P01
13/08/2012;1;MA002002600330;P01
13/08/2012;1;MA002001600331;P01
13/08/2012;1;MA002002000332;P01
13/08/2012;1;MA002000800333;P01
13/08/2012;1;MA002001600334;P01
16/08/2012;1;MA002003000335;P01
16/08/2012;1;MA002000400336;P01
17/08/2012;1;MA002000700337;P01
17/08/2012;1;MA002003200338;P01
17/08/2012;1;MA002003300339;P01
20/08/2012;1;MA002000600340;P01
20/08/2012;1;MA002000400341;P01
20/08/2012;1;MA002000300342;P01
20/08/2012;1;MA002003500343;P01
20/08/2012;1;MA002002600344;P01
20/08/2012;1;MA002003400345;P01
21/08/2012;1;MA002001000346;P01
21/08/2012;1;MA002001400347;P01
23/08/2012;1;MA002002600348;P01
23/08/2012;1;MA002000900349;P01
23/08/2012;1;MA002002500350;P01
23/08/2012;1;MA002001100351;P01
27/08/2012;1;MA002002800352;P01
27/08/2012;1;MA002001900353;P01
27/08/2012;1;MA002000500354;P01
27/08/2012;1;MA002000500355;P01
27/08/2012;1;MA002001600356;P01
27/08/2012;1;MA002003000357;P01
28/08/2012;1;MA002001800358;P01
28/08/2012;1;MA002002100359;P01
29/08/2012;1;MA002000900360;P01
30/08/2012;1;MA002002700361;P01
31/08/2012;1;MA002003600362;P01
03/09/2012;1;MA002003300363;P01
03/09/2012;1;MA002002500364;P01
04/09/2012;2;MA002001200365;P01
04/09/2012;1;MA002001800366;P01
05/09/2012;1;MA002001900367;P01
05/09/2012;1;MA002000300368;P01
06/09/2012;1;MA002000500369;P01
07/09/2012;2;MA002003400370;P01
10/09/2012;1;MA002002800371;P01
10/09/2012;1;MA002003600372;P01
10/09/2012;1;MA002002200373;P01
10/09/2012;1;MA002000900374;P01
10/09/2012;1;MA002001500375;P01
10/09/2012;1;MA002003600376;P01
10/09/2012;1;MA002003300377;P01
10/09/2012;1;MA002001200378;P01
10/09/2012;1;MA002001200379;P01
10/09/2012;1;MA002003500380;P01
12/09/2012;1;MA002001800381;P01
12/09/2012;1;MA002000900382;P01
13/09/2012;1;MA002000400383;P01
14/09/2012;1;MA002000900384;P01
17/09/2012;1;MA002001300385;P01
17/09/2012;1;MA002001800386;P01
17/09/2012;1;MA002002200387;P01
17/09/2012;1;MA002001500388;P01
17/09/2012;1;MA002001100389;P01
17/09/2012;1;MA002000400390;P01
17/09/2012;1;MA002000200391;P01
17/09/2012;1;MA002003400392;P01
18/09/2012;1;MA002001300393;P01
19/09/2012;1;MA002003000394;P01
19/09/2012;1;MA002003200395;P01
19/09/2012;1;MA002000300396;P01
19/09/2012;1;MA002000900397;P01
20/09/2012;1;MA002003200398;P01
20/09/2012;1;MA002002300399;P01
21/09/2012;1;MA002000600400;P01
21/09/2012;1;MA002000800401;P01
21/09/2012;1;MA002001500402;P01
24/09/2012;1;MA002002200403;P01
24/09/2012;1;MA002002900404;P01
24/09/2012;1;MA002001800405;P01
24/09/2012;1;MA002000800406;P01
24/09/2012;1;MA002003300407;P01
25/09/2012;1;MA002002400408;P01
25/09/2012;1;MA002000700409;P01
25/09/2012;1;MA002000700410;P01
26/09/2012;1;MA002002200411;P01
28/09/2012;1;MA002000800412;P01
01/10/2012;1;MA002000600413;P01
04/10/2012;1;MA002000600414;P01
04/10/2012;1;MA002000900415;P01
05/10/2012;1;MA002000800416;P01
08/10/2012;1;MA002003200417;P01
08/10/2012;1;MA002002500418;P01
08/10/2012;1;MA002002200419;P01
08/10/2012;1;MA002000800420;P01
08/10/2012;1;MA002003000421;P01
09/10/2012;1;MA002000900422;P01
09/10/2012;1;MA002001800423;P01
10/10/2012;1;MA002000200424;P01
10/10/2012;1;MA002002500425;P01
10/10/2012;1;MA002003700426;P01
12/10/2012;1;MA002001900427;P01
12/10/2012;1;MA002001800428;P01
15/10/2012;1;MA002003100429;P01
15/10/2012;2;MA002003000430;P01
17/10/2012;1;MA002001800431;P01
22/10/2012;1;MA002003100432;P01
22/10/2012;1;MA002000200433;P01
22/10/2012;1;MA002002900434;P01
22/10/2012;1;MA002002700435;P01
22/10/2012;1;MA002002100436;P01
22/10/2012;1;MA002000400437;P01
22/10/2012;1;MA002000700438;P01
23/10/2012;1;MA002001700439;P01
23/10/2012;1;MA002000300440;P01
24/10/2012;1;MA002001500441;P01
25/10/2012;1;MA002002900442;P01
26/10/2012;1;MA002001900443;P01
26/10/2012;1;MA002000500444;P01
29/10/2012;1;MA002001600445;P01
29/10/2012;1;MA002000900446;P01
29/10/2012;1;MA002000900447;P01
29/10/2012;1;MA002002600448;P01
29/10/2012;1;MA002002400449;P01
29/10/2012;1;MA002003100450;P01
29/10/2012;1;MA002000800451;P01
30/10/2012;1;MA002003000452;P01
30/10/2012;1;MA002001800453;P01
31/10/2012;1;MA002002700454;P01
31/10/2012;1;MA002001600455;P01
31/10/2012;1;MA002001800456;P01
02/11/2012;1;MA002003000457;P01
02/11/2012;1;MA002000500458;P01
02/11/2012;1;MA002002200459;P01
02/11/2012;1;MA002003500460;P01
05/11/2012;1;MA002003600461;P01
06/11/2012;1;MA002002100462;P01
08/11/2012;1;MA002003500463;P01
09/11/2012;1;MA002000800464;P01
12/11/2012;1;MA002000400465;P01
12/11/2012;1;MA002000400466;P01
12/11/2012;1;MA002003600467;P01
12/11/2012;1;MA002000500468;P01
14/11/2012;1;MA002000800469;P01
15/11/2012;1;MA002000300470;P01
15/11/2012;1;MA002003400471;P01
15/11/2012;1;MA002000200472;P01
16/11/2012;1;MA002002200473;P01
16/11/2012;1;MA002003300474;P01
19/11/2012;1;MA002001600475;P01
19/11/2012;1;MA002001200476;P01
19/11/2012;1;MA002000400477;P01
19/11/2012;1;MA002001300478;P01
19/11/2012;1;MA002002300479;P01
20/11/2012;1;MA002002400480;P01
21/11/2012;1;MA002003300481;P01
22/11/2012;1;MA002003600482;P01
22/11/2012;1;MA002003500483;P01
23/11/2012;1;MA002001700484;P01
23/11/2012;1;MA002000800485;P01
23/11/2012;1;MA002002000486;P01
26/11/2012;1;MA002003300487;P01
26/11/2012;1;MA002003700488;P01
27/11/2012;1;MA002000900489;P01
27/11/2012;1;MA002001200490;P01
28/11/2012;1;MA002003100491;P01
29/11/2012;2;MA002002900492;P01
29/11/2012;1;MA002000100493;P01
29/11/2012;1;MA002003300494;P01
29/11/2012;1;MA002002100495;P01
30/11/2012;1;MA002000600496;P01
03/12/2012;1;MA002002500497;P01
03/12/2012;1;MA002000500498;P01
03/12/2012;1;MA002003200499;P01
03/12/2012;1;MA002001900500;P01
03/12/2012;1;MA002002800501;P01
03/12/2012;1;MA002000400502;P01
04/12/2012;1;MA002000700503;P01
10/12/2012;1;MA002002400504;P01
10/12/2012;1;MA002001200505;P01
10/12/2012;1;MA002001400506;P01
11/12/2012;1;MA002002800507;P01
11/12/2012;1;MA002002800508;P01
12/12/2012;1;MA002001100509;P01
12/12/2012;1;MA002000600510;P01
12/12/2012;1;MA002002100511;P01
12/12/2012;1;MA002001400512;P01
13/12/2012;1;MA002000100513;P01
13/12/2012;1;MA002000900514;P01
13/12/2012;2;MA002002600515;P01
13/12/2012;1;MA002002100516;P01
13/12/2012;1;MA002000700517;P01
13/12/2012;1;MA002001100518;P01
14/12/2012;1;MA002000600519;P01
14/12/2012;1;MA002001300520;P01
17/12/2012;1;MA002000200521;P01
17/12/2012;1;MA002001000522;P01
17/12/2012;1;MA002000700523;P01
17/12/2012;1;MA002003400524;P01
17/12/2012;1;MA002002500525;P01
17/12/2012;1;MA002001500526;P01
19/12/2012;1;MA002001000527;P01
20/12/2012;1;MA002001800528;P01
24/12/2012;1;MA002000200529;P01
24/12/2012;1;MA002003000530;P01
24/12/2012;1;MA002003700531;P01
